No,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,必須スキル
12,12,AI実装・運用,AIエージェント,メモリと状態管理,★★★,出力履歴やタスク結果を保持・再利用しつつ、トークン消費を最適化できる（セッションを跨いだナレッジのインデックス化や冗長情報のフィルタリングなど）,
13,13,AI実装・運用,AIエージェント,メモリと状態管理,★★★,ユーザープロファイルを安全に永続化し、権限やプライバシーを考慮して活用するとともに、長期的に一貫した行動や人格を維持する仕組みを実装できる（LangGraph等を用いたタスク状態の連携など）,◯
14,14,AI実装・運用,AIエージェント,ツール利用・拡張,★★,Function CallingやMCPなどを活用し、社内システム・外部サービス・内部モジュールをエージェントから安全かつ拡張性をもって呼び出す設計ができる（認証やスキーマ設計、エラー処理、レート制御、監査ログの考慮など）,◯
15,15,AI実装・運用,AIエージェント,ツール利用・拡張,★★★,エージェントに組み込む内部ツール（計算、変換、シミュレーション、業務固有ロジックなど）を設計・実装し、既存の社内システム資産を活用できる,
16,16,AI実装・運用,AIエージェント,ツール利用・拡張,★★★,複数のエージェント間で社内システムや外部サービスとの連携を前提に役割分担やプロトコル設計を行い、複雑なタスクを協調的に実行できる（オーケストレーションや合議形成、リカバリ設計など）,
17,17,AI実装・運用,AIエージェント,プロンプト設計・評価,★★,LLMの挙動を把握しながらSystemプロンプト（役割・制約・出力様式） と User/Toolプロンプト（入力仕様・前提データ） を設計し、モジュール間で一貫した振る舞いを実現できる,
18,18,AI実装・運用,AIエージェント,プロンプト設計・評価,★★★,固定シナリオでの出力比較（他ケースや他処理まで含めた改善・改悪評価）や LLM-as-a-Judge を活用し、応答の一貫性や正確性を評価・改善に活用できる,
19,19,AI実装・運用,AIエージェント,行動計画・推論制御,★★,連携するAIの理論や特性を踏まえ、Chain-of-ThoughtやTree-of-Thought、Self-Consistency、Self-Refinementなどの多段推論手法を理解し、適用できる,
20,20,AI実装・運用,AIエージェント,行動計画・推論制御,★★,AIエージェントの型に沿って、複雑なタスクをサブタスクや推論手順に分解して実行するエージェント設計ができる,
21,21,AI実装・運用,AIエージェント,行動計画・推論制御,★★★,人間とAIエージェントの役割分担や人間の介入点を明確化し、重要意思決定を協調的に行うためのHuman-in-the-loopを設計できる,
22,22,AI実装・運用,AIエージェント,評価・品質管理,★★★,能力の観点（計画・自己修正の妥当性やツール利用の正しさなど）やタスクの観点（成功率やステップ数など）、運用の観点（処理時間や結果の一貫性など）で、AIエージェントの評価方法や評価指標を設計できる,
23,23,AI実装・運用,AIエージェント,評価・品質管理,★★★,ハルシネーション検出のための信頼スコアやクロスチェック、失敗時のリトライやバックアップなど堅牢性向上のための設計ができる,
24,24,AI実装・運用,AIエージェント,リスク・倫理・運用,★★★,エージェントの自動化範囲と人間判断範囲を整理し、責任分担を明確にできる,
25,25,AI実装・運用,AIエージェント,リスク・倫理・運用,★★★,AIエージェントの行動リスクを特定・評価し、リスク・倫理・運用の観点からガードレールを設計し実装できる（利用制限やフィルタリング、承認フロー、監査ログ、誤動作時のリカバリ設計など）,
26,26,AI実装・運用,AIエージェント,リスク・倫理・運用,★★★,維持・向上すべき性能・品質指標を踏まえ、知識ベースやツール群を含めたエージェントの運用・メンテナンス計画（データ更新、APIバージョン管理など）を策定できる,
27,1,AI実装・運用,マルチモーダルAI,マルチモーダル企画,★★★,マルチモーダルAIにおける技術のフロンティアを精度・品質・速度・コスト等の観点から深く理解しつつ、短期間で驚異的な質的・構造的な飛躍を遂げる技術進化を踏まえて、マルチモーダルAIの利活用を計画できる,
28,2,AI実装・運用,マルチモーダルAI,マルチモーダル企画,★★★,モダリティ間の共通情報やモダリティ固有情報の違いを理解し、サービスの目的や価値提供の軸に応じて、最適な情報モダリティを選定・組み合わせできる,
29,3,AI実装・運用,マルチモーダルAI,マルチモーダル企画,★★★,モダリティごとの特性（伝達内容や受け取る印象）の違いを理解し、全体として一貫して良い体験を提示できる情報インタラクションを設計できる,
30,4,AI実装・運用,マルチモーダルAI,マルチモーダル企画,★★★,マルチモーダルAIの活用においては、データ収集・データ保持・モデル学習・モデル運用等のいずれにおいても人的・経済的リソースが必要であることを理解し、机上計算や概念検証を通して必要なリソース量を検討できるとともに確保できる,
31,5,AI実装・運用,マルチモーダルAI,モダリティ設計,★★★,新規タスクに対してモダリティ構成と入力処理を統合的に設計し、組み合わせ効果を説明できる,
32,6,AI実装・運用,マルチモーダルAI,モダリティ設計,★★★,利用可能な基盤モデルとその特徴、対応モダリティを理解し、入力データのモダリティ構成を設計できる,
33,7,AI実装・運用,マルチモーダルAI,共通表現・統合設計,★★,既存のマルチモーダルモデル（CLIP系の学習済みモデルなど）を利用して異なるモダリティを共通表現空間に変換し、粒度やタイミングを調整できる,
34,8,AI実装・運用,マルチモーダルAI,共通表現・統合設計,★★★,タスクや領域に応じて共通表現空間と統合戦略を設計し、同期や結合手法を工夫して性能改善を実現できる,
35,9,AI実装・運用,マルチモーダルAI,マルチモーダルシステム設計・開発,★★,既存のマルチモーダル基盤モデルの特徴や、入出力の仕様を理解し、目的に合わせて利用することができる（音声＋視覚＋言語→特徴量ベクトル作成、3次元表現＋視覚＋言語→認識など）,
36,10,AI実装・運用,マルチモーダルAI,マルチモーダルシステム設計・開発,★★,マルチモーダルモデルの学習・微調整・運用に伴って生じるデータ量を見積もり、それに耐えるデータ基盤をモダリティごとに構築できる,
37,11,AI実装・運用,マルチモーダルAI,マルチモーダルシステム設計・開発,★★,既存手法（BEiT-3、LayoutLM、BLIPなど）を活用して画像＋テキストなどの異種データを統合し、予測や分類精度を高められる,
38,12,AI実装・運用,マルチモーダルAI,マルチモーダルシステム設計・開発,★★★,タスク要件に応じてマルチモーダルモデルのアーキテクチャや学習戦略を設計し、既存手法の限界を超えて性能改善や応用を実現できる,
39,13,AI実装・運用,マルチモーダルAI,マルチモーダルシステム設計・開発,★★★,ビジネス要件を深く理解したうえで、その実現方法として外部APIの組み合わせ・Open Weight のモデルの利用・独自モデルの学習等の様々な選択肢を検討し、モデル開発の方向性を複数提示できるとともに、その検討に必要な概念検証（Proof of Concept：PoC）の計画を検討できる,
40,14,AI実装・運用,マルチモーダルAI,マルチモーダルシステム設計・開発,★★★,開発するモデルの精度・品質を評価するため、ビジネス要件と、評価指標の特性やそれに必要なデータを理解したうえで、自動かつ定量的な評価の方法を設計できる,
41,15,AI実装・運用,マルチモーダルAI,マルチモーダルシステム設計・開発,★★★,マルチモーダル生成の評価困難性に対処するため、評価基準の改善とモデル最適化を反復的に実施する開発手法（Evaluator-Optimizer Loop等）を適用できる,
42,16,AI実装・運用,マルチモーダルAI,マルチモーダルシステム設計・開発,★★★,モダリティに応じた安全性・品質等の評価指標を選定し、指標の計算コストに応じて全数調査と標本調査を組み合わせながら、可能な範囲で最大限にシステムに流れるデータの状態を把握できる,
43,17,AI実装・運用,マルチモーダルAI,統合評価,★★,モダリティ統合の効果を精度指標や整合性指標（クロスモーダル一致度、類似度評価など）で評価できる,
44,18,AI実装・運用,マルチモーダルAI,統合評価,★★★,タスクや領域に応じて、統合表現の質やモデル性能を評価する独自の基準や枠組みを設計できる（医療現場での画像診断と所見テキストの一致率、製造業でのセンサーデータと画像検査結果の整合性指標、教育での音声発話と理解度テキストの整合性評価など）,
45,1,AI実装・運用,ナレッジ活用,ナレッジ基盤,★★,組織内外に散在するナレッジを、再利用性・文脈性を保ちながら構造化し、RAGなどの仕組みを通じてAIが活用可能なナレッジ基盤として再設計できる,
46,2,AI実装・運用,ナレッジ活用,ナレッジ基盤,★★,ナレッジ基盤をAIから利用するにあたり、その精度や品質を維持向上させるための評価や改善ができる（RAGの検索品質評価、チューニングなど）,
47,1,AI実装・運用,AIシステム管理,コスト最適化,★★,扱うデータやモデルの特性を踏まえ、必要な品質を維持したまま AI 利用にかかるコストを最適化できる,
48,2,AI実装・運用,AIシステム管理,AIシステム運用,★★,既存の DevOps / MLOps の中に適切な AI を組み込み、コードレビューなどの人間が行っていた作業を代替できる,
49,3,AI実装・運用,AIシステム管理,AIシステム運用,★★,AIシステムの予測モデル評価において、求められている予測性能を満たしているかを評価し、業務システムへの適用を判断できる,
50,4,AI実装・運用,AIシステム管理,AIシステム運用,★★,AIモデルの管理方針（更新頻度、バージョン管理、リリース手順など）を決定し、適切にAIモデルを運用できる,
51,5,AI実装・運用,AIシステム管理,異常検知,★★,さまざまなメトリクスや大量に生成されるログデータをAIを用いて解析し、従来のアラート設定や人間による監視では気づけない問題の兆候となる異常を検知できる,
52,6,AI実装・運用,AIシステム管理,異常検知,★★★,システムで発生した複合的な原因による異常に対して、AIを活用した原因分析から改善・再発防止策の提案までのフローを構築できる,
53,7,AI実装・運用,AIシステム管理,AIシステム運用,★★,AIシステム（RAGなど）の品質評価を自動化し、改善機会を特定して高速なイテレーションを実現できる,
54,1,AI実装・運用,インターフェース,インターフェース設計,★★,データ計算量・レスポンス速度・システム負荷などの技術的制約を踏まえ、利用者にとって利用しやすいインターフェースを設計できる,
55,2,AI実装・運用,インターフェース,サービスデザイン,★★,ユーザー行動データとフィードバックから人間の感覚や認知特性を分析し、使いやすさと満足度の高いUXサービスを設計できる,
56,1,AI実装・運用,オントロジー,オントロジー設計,★★,業務領域の主要な対象・属性・関係を構造化して表現できる（顧客−購買−商品などの関係モデルなど）,
57,2,AI実装・運用,オントロジー,オントロジー設計,★★★,組織やシステム全体の構造をオントロジーとして体系設計できる（企業全体のデジタルツイン構造など）,
58,3,AI実装・運用,オントロジー,オントロジー設計,★★★,意味解析モデルが未知概念に遭遇した際、誤推論（ハルシネーション）せず「不明」と応答するよう制御できる（オントロジー外概念の検知、信頼度に基づく応答制御など）,
59,4,AI実装・運用,オントロジー,オントロジー設計,★★★,AIモデルが前提としている暗黙のオントロジーを分析し、文化的・価値観的バイアスを特定して緩和策を提案できる,
60,5,AI実装・運用,オントロジー,オントロジー設計,★★★,特定領域(医療、金融など)の暗黙知や専門知識を明示的に表現するオントロジーを、LLMを活用して半自動的で設計できる,
61,6,AI実装・運用,オントロジー,ナレッジグラフ構築,★★,非構造化テキストからエンティティと関係性を抽出し、接続されたナレッジグラフを構築できる,
62,7,AI実装・運用,オントロジー,ナレッジグラフ構築,★★★,ナレッジグラフを統合基盤として、構造化データベースや 非構造化テキストなど異なる形式のデータを連携させ、 セマンティッククエリによる統一的な検索を実現できる,
63,8,AI実装・運用,オントロジー,ナレッジグラフ構築,★★,LLMのハルシネーション抑制と回答根拠の提示のために、ナレッジグラフを知識源とするRAGシステムを構築ができる,
64,9,AI実装・運用,オントロジー,ナレッジグラフ構築,★★★,新たな情報をリアルタイムで取り込み、信頼性を検証しながら、矛盾なくナレッジグラフに統合する動的更新システムを構築できる,
65,10,AI実装・運用,オントロジー,ナレッジグラフ構築,★★★,対話AIがナレッジグラフ上をどう探索して回答に至ったか、その推論パスを可視化・説明できるシステムを実装できる,
66,11,AI実装・運用,オントロジー,セマンティック解析・推論,★★★,構造化・非構造化データを横断的に扱うクエリ言語(SUQLなど)を実装し、対話型検索システムに適用できる,
67,12,AI実装・運用,オントロジー,セマンティック解析・推論,★★★,LLMの生成能力とナレッジグラフの構造的知識を組み合わせ、生成→検証のループで高信頼性の回答を導出するシステムを構築できる,
68,13,AI実装・運用,オントロジー,セマンティック解析・推論,★★★,テキストだけでなく、画像、動画、センサーデータなど複数のモダリティ情報を統合したナレッジグラフを設計・実装できる,
69,1,AI実装・運用,IoT,ハードウェア,★★,データの利用や分析の目的に合った品質を満たすデータが取得できるように、デバイスとデータそれぞれについて物理特性を踏まえて扱うことができる,
70,2,AI実装・運用,IoT,ハードウェア,★★,実際にデバイスが運用される環境や制約を踏まえた上で、データの取得精度や耐久性などを満たすハードウェアの選定ができる,
71,3,AI実装・運用,IoT,ハードウェア,★★★,既存のデバイスでは対応できない環境やセンシングが必要になった場合に、複数の計測機器を組み合わせたり、新規のハードウェアを企画・設計できる,
72,4,AI実装・運用,IoT,エッジAI・自動化,★★,スマートホームの標準規格(Matterなど)を採用した家電や電力などのログからユーザー行動パターンを抽出し、パーソナライゼーションやサービス改善に応用できる,
73,5,AI実装・運用,IoT,エッジAI・自動化,★★,エッジデバイス(組込み機器)上で動作する軽量な推論モデル(TinyML/量子化モデル)を設計・実装し、クラウド依存を減らしたローカルAI処理を実現できる,
74,6,AI実装・運用,IoT,IoTデータ分析・予測,★★,バッテリー駆動IoTデバイスの消費電力データから、ビジネス要件や性能要件に合わせて省電力化のための最適化条件を設計できる,
75,7,AI実装・運用,IoT,IoTデータ分析・予測,★★,IoTデバイスから生成される時系列データ(センサー値、ネットワークメトリクス、電力消費など)をリアルタイムに収集・前処理し、異常検知モデルを構築・運用できる,
76,8,AI実装・運用,IoT,IoTデータ分析・予測,★★★,IoTデバイス・位置情報・利用パターンなどの複数データソースを統合分析し、潜在的な顧客ニーズや未開拓市場を発見することで、既存事業の枠を超えた新規サービス・ビジネスモデル・パートナーシップ機会を創出できる,
77,1,AI実装・運用,ロボティクス,Physical AI,★★★,Physical AIやロボット基盤モデルにおける物理リスクの理解、現在の技術や事例と今後の発展性を踏まえ、自社の事業領域における可能性を検討できる,
78,2,AI実装・運用,ロボティクス,Physical AI,★★,ロボットの定義を正しく理解し（人型のみでなく、センシング・判断・動作を統合したシステム全般）、産業用・移動用・協働用など多様な形態のロボットにおけるデータ特性の違いを説明できる,
79,3,AI実装・運用,ロボティクス,Physical AI,★★,ロボット学習における特有の課題（sim-to-real gap、 安全性制約、実機データ収集コストなど）を理解し、 それらに対応する手法を説明できる,
80,4,AI実装・運用,ロボティクス,ルール遵守・策定,★★★,ロボット（ドローンや自動運転車など）を実地運用する際に遵守すべき規制・法令・慣例等を熟知し、プロジェクト開始時、PoC 開始時、実運用開始時などのタイミングで妥当な方向性を見いだせる,
81,5,AI実装・運用,ロボティクス,ルール遵守・策定,★★★,ロボット（ドローンや自動運転車など）を実地運用する際に遵守すべき規制・法令・慣例等の整備が不十分な領域において、その整備に必要なステークホルダーを特定し、協力を取り付け、整備に向けた活動を主導できる,
82,6,AI実装・運用,ロボティクス,ロボット学習基盤,★★★,ロボット学習における実機選定において、 自由度・精度・安全性・コストのトレードオフを評価し、 目的タスクに最適なロボットハードウェアを選定できる,
83,7,AI実装・運用,ロボティクス,ロボット学習基盤,★★★,ロボットの実運用シーンを分析し、必要な入力データの種類・分布を特定して、適切なセンサー構成とデータ収集プロトコル（データ量、収集時の動作パターンなど）を設計できる,
84,8,AI実装・運用,ロボティクス,ロボット学習基盤,★★★,ロボットから生成される大規模マルチモーダルデータ （100TB/月以上）を効率的に収集・保存・管理する スケーラブルなデータ基盤を構築できる,
85,9,AI実装・運用,ロボティクス,ロボット学習基盤,★★★,実機ロボットを用いたデータ収集において、 現場での失敗や事故を防ぐため、機材・実験場所の確保、 安全対策、法令に基づく申請を事前に企画・実行できる,
86,10,AI実装・運用,ロボティクス,ロボット学習,★★★,ドローン・自動運転車・ロボットなどの動作を推論するモデルを学習する場面において、手法の候補を適切に選定し、実験を主導できる（ルールベース、古典的機械学習、深層学習、強化学習、VLA、Diffusion Policy、制御理論など）,
87,11,AI実装・運用,ロボティクス,ロボット学習,★★★,プロジェクトの目的やタスクの性質、利用するロボットやモデルに応じて、シミュレーション環境や世界モデルを用いた学習の利用可否を判断できる,
88,12,AI実装・運用,ロボティクス,ロボット学習,★★★,タスクや利用するロボットに応じて、適切なシミュレーション環境の構築を主導できる（専門家への依頼の検討など）,
89,13,AI実装・運用,ロボティクス,ロボット学習,★★★,タスクや利用するロボットに応じて、世界モデルの学習プロジェクトを主導できる（技術的に可能かの判断、リソース・時間的に可能かの判断、可能な場合の各種マネジメントなど）,
90,14,AI実装・運用,ロボティクス,ロボット学習,★★★,世界モデルによるシミュレーションの利点と限界を理解したうえで、モデルの学習方法を適切に設計できる（実機では取得できないデータの収集が可能 / 推論フレーム数が増えると予測が崩壊するなど）,
91,15,AI実装・運用,ロボティクス,ロボット学習,★★★,Sim2Realギャップの原因を特定し、仮説検証と改善策を検討できる（シミュレーション環境や世界モデルの精度、データ分布の相違、モデルの頑健性の設計、モデルの汎化性能など）,
92,1,ガバナンス,データガバナンス,データガバナンス基盤,★★,"データオーナー・スチュワード・ガバナンス委員会などの体制を整備し、RACI（Responsible,Accountable,Consulted,Informed）の観点で責任を明確化できる",
93,2,ガバナンス,データガバナンス,データガバナンス基盤,★★,データの分類基準（公開情報、機密情報、個人情報、機微情報など）を定め、データカタログと連携して自動でラベリングできる,
94,3,ガバナンス,データガバナンス,データガバナンス基盤,★★,データ保持・削除ルールを定め、ETL（Extract、Transform、Load）やパイプラインと連携して自動的に消去でき、必要に応じて証拠保全措置を設定できる,
95,4,ガバナンス,データガバナンス,データガバナンス基盤,★★★,データ品質の基準としてKPI（Key Performance Indicator）やSLA（Service Level Agreement）を設定し、テストをコードで実装して組み込むことで品質を自動監視し、SLO（Service Level Objective）などの観測可能な指標によって把握できる,
96,5,ガバナンス,データガバナンス,データガバナンス基盤,★★★,スキーマのバージョンを管理して互換性を確認し、データ契約とスキーマ進化管理によって問題のある変更を防ぎ、システムを止めずに継続運用できる,
97,6,ガバナンス,データガバナンス,データガバナンス基盤,★★★,役割や属性などに応じたアクセス制御を設計し、ポリシーをコード化したOPA（Open Policy Agent）で統一適用・監査し、アクセスや変更履歴を不可改ざんログであるWORM（Write Once Read Many）として保存・可視化できる,
98,7,ガバナンス,データガバナンス,データガバナンス基盤,★★★,同意管理機能を用いて、取得した同意や利用目的をメタデータとして管理し、目的外の利用や二次利用を自動で検知してブロックできる,
99,8,ガバナンス,データガバナンス,セキュリティ／プライバシー,★★★,個人情報保護法やGDPRなどに基づき、第三者提供や越境移転に関する統制を設計・実装し、契約条項や移転に伴う影響評価、暗号化や鍵管理、地域制約の適用などに対応できる,
100,9,ガバナンス,データガバナンス,セキュリティ／プライバシー,★★★,倫理レビューやPIA（Privacy Impact Assessment）、DPIA（Data Protection Impact Assessment）などの影響評価を実施し、AIやデータに含まれる偏りや代表性の欠如、低品質なデータなどのリスクを評価し、是正手順を標準化して運用できる,
101,10,ガバナンス,データガバナンス,セキュリティ／プライバシー,★★★,プライバシー保護技術（匿名化、仮名化、合成データ、 秘密計算など）の特性を理解し、 データの機密性要件と活用目的に応じて 適切な技術を選択・評価できる,
102,11,ガバナンス,データガバナンス,データ活用・連携,★★,利用目的や再配布禁止、匿名加工の条件、違反時の対応などをまとめたデータ共有契約のテンプレートを作成し、配布のプロセスに組み込むことができる,
103,12,ガバナンス,データガバナンス,データ活用・連携,★★★,用語集やデータ辞書、データリネージ、品質指標、所有者情報などを統合したデータカタログを作成し、管理ソリューションを活用して分析データのメタデータや由来・履歴を一元的に管理し、その実装状況を定量的に把握するとともに、データ可視化とガバナンスを強化できる。,
104,13,ガバナンス,データガバナンス,データ活用・連携,★★★,データを利用者視点で製品として設計し、品質・利用性・責任を担保したデータプロダクトを提供できる,
105,14,ガバナンス,データガバナンス,アーキテクチャ設計,★★★,データメッシュによる分散型のデータ管理において、認証・カタログ・監査などの共通ポリシーと、データ提供や品質保証などのドメインごとの自律運用を両立可能な設計ができる,
106,15,ガバナンス,データガバナンス,アーキテクチャ設計,★★★,連合学習の特性を踏まえ、プライバシー保護・通信効率・リソース分散を考慮した分散学習基盤を設計できる,
107,16,ガバナンス,データガバナンス,運用・監視,★★★,データパイプラインにおける個人情報の無許可な流入やスキーマ破壊、品質劣化などのポリシー違反を自動検知し、処理を停止・通知できる,
108,1,ガバナンス,AIガバナンス,AI倫理,★★,AI・機械学習がもたらす現在の倫理課題を説明できる（生成AIによる様々な権利侵害、バイアスによる人種差別、学習済みモデルのリバースエンジニアリングによる知的財産権の侵害など）,◯
109,2,ガバナンス,AIガバナンス,AI倫理,★★,生成AIモデルを活用する際、倫理の曖昧さと法整備の不十分さが残っていることを理解し、利活用するための対応方法を検討できる,
110,3,ガバナンス,AIガバナンス,ガイドライン整備,★★,技術トレンドや各国の法規制を踏まえ、国・エリア別の法規制対応やガイドラインのローカライズを主導できる,
111,4,ガバナンス,AIガバナンス,ガイドライン整備,★★★,技術進化と法規制対応のズレにより、既存のガイドラインでは明確な記載がない場合において、倫理・権利と利益とのバランスに留意し適切な対応を講じることができる,
112,5,ガバナンス,AIガバナンス,ガイドライン整備,★★★,AI・モデルの新規開発や新サービス導入に伴う権利保護のガイドラインを定義できる,
113,6,ガバナンス,AIガバナンス,ガイドライン整備,★★★,新しいAI技術などの社会浸透・実用化に向けて、新たなガイドラインの策定や業界横断での仕掛けづくりを推進できる,
114,7,ガバナンス,AIガバナンス,責任あるAI,★★,責任あるAIの基本原則および、バイアスや有害表現、セキュリティ攻撃などの代表的なリスクを説明できる,◯
115,8,ガバナンス,AIガバナンス,責任あるAI,★★,AI・モデル開発において、既存ライブラリを活用した場合の知財リスクの確認や、適切なガイドラインを参照・確認できる（経済産業省「AI事業者ガイドライン」「AI・データの利用に関する契約ガイドライン」など）,
116,9,ガバナンス,AIガバナンス,責任あるAI,★★,AIモデルの倫理課題や品質課題、セキュリティ課題を定量的に分析し緩和策や防御策を検討できる,
117,10,ガバナンス,AIガバナンス,責任あるAI,★★★,基盤モデルが学習に利用しているデータやその学習方法、汎化性能に起因する利用上の倫理問題（バイアスや誤情報、データ作成者の権利保護・クロール対策、個人・機密情報の取り扱いなど）を予測・調査し、対策を検討できる,
118,11,ガバナンス,AIガバナンス,責任あるAI,★★★,学習データの出所・ライセンス・同意条件を管理し、それらの制約をモデルやRAGのコーパスに引き継ぐことができる,
119,12,ガバナンス,AIガバナンス,責任あるAI,★★★,モデルの入力・出力を記録し、XAI（Explainable Artificial Intelligence）で説明責任を確保しつつ、ハルシネーションや著作権侵害、機密漏えいを防ぐガードレールを設計・運用できる,
120,13,ガバナンス,AIガバナンス,責任あるAI,★★★,AI・モデル開発における生成データや学習済みモデルに対し、成果物に対する責任の所在、権利の帰属を専門家と協力しつつ、契約内容に盛り込むことができる(著作、利用許諾、営業機密、情報開示、利用範囲など),
121,14,ガバナンス,AIガバナンス,推進・運用,★★,レッドチームによる倫理テスト、品質テスト、セキュリティテストを実施し、AIシステムに潜む脆弱性やリスクを特定できる,
122,15,ガバナンス,AIガバナンス,推進・運用,★★,AIエージェントが自律的に動作する環境において、組織外のAIモデルや外部サービスに送信されるデータを監視し、機密情報や個人情報を事前に検出・除去できる,
123,16,ガバナンス,AIガバナンス,推進・運用,★★★,生成AIの活用に伴うリスクについて、事業や技術の最新動向を踏まえリスクの棚卸しをするとともに、組織的に対応できるオペレーションや意思決定フローを整備できる,
124,17,ガバナンス,AIガバナンス,推進・運用,★★★,大規模言語モデル（LLM）の誤った出力に対するシステムチェックの限界を理解し、利用場面や注意事項などに関するガイドラインや利用における免責事項のポイントを検討できる,
125,18,ガバナンス,AIガバナンス,推進・運用,★★★,組織の事業戦略や法規制に基づき、AIのリスクレベルや倫理原則を定義し、組織的なAIガバナンス体制を構築できる,
