No,SubNo,フェーズ,スキルカテゴリ,サブカテゴリ,スキル定義,★（見習い）,★★（一人前）,★★★（棟梁）,★ 必須,★★ 必須,★★★ 必須,DS,DE
14,1,設計 （Design）,システム・AI設計 （System & Agent Design）,AIとの協働構造設計,AIと人の役割分担（自動・補助・判断）を定義し、業務・UX・技術制約を往復して最適な協働プロセスを設計する力。失敗時のフェイルセーフやエスカレーションも組み込む,人とAIの基本的な役割分担を説明できる,業務・UX・技術を統合した協働プロセスを設計できる,大規模運用を前提に責任範囲・安全策を制度化できる,,◯,,,＊
15,2,設計 （Design）,システム・AI設計 （System & Agent Design）,適応的アーキテクチャ設計,将来の技術進化・スケール・障害を織り込んだ拡張可能な全体設計力。段階的移行やリカバリーを設計し、レガシーとクラウド/エッジを滑らかに接続する,現状のアーキテクチャを整理し、説明できる,拡張・移行・復旧を含む全体設計ができる,事業の成長段階に合わせた適応型アーキテクチャを描ける,,,,＊,＊
16,3,設計 （Design）,システム・AI設計 （System & Agent Design）,価値文脈統合,AI・データを“価値の文脈”から設計に統合し、目的→指標→データ→モデル→運用を一本化する力。人とAI・データの関係を直感的かつ倫理的に設計する,目的に応じた指標を設計できる,指標・データ・モデル・運用を一貫設計できる,価値文脈を軸に人・AI・データの関係を制度化できる,◯,,◯,＊,
17,1,設計 （Design）,ガバナンス・倫理設計 （Governance Design）,倫理・リスク設計,AI倫理・品質・セキュリティ・プライバシーの多層防御を設計する力。人間の介在が難しい場面を想定し、異常時対応・監査証跡・説明責任を仕組みに埋め込む,主要リスクを列挙できる,多層防御と運用手順を設計できる,監査・説明・回復まで含む統合リスク設計を主導できる,◯,◯,,＊,＊
18,2,設計 （Design）,ガバナンス・倫理設計 （Governance Design）,適応的ガバナンス構築,技術進化と規制のズレを前提に、ガイドライン・標準プロセス・体制を継続的に更新する力。専門組織による集約的アプローチや、地域差・業界差に応じたローカライズも設計・運用する,既存の規程を自身の業務・タスクに適用できる,運用と整合する実践的ガイドラインを設計できる,業界横断の新基準や地域別運用モデルを設計し、主導できる,◯,,,,
19,3,設計 （Design）,ガバナンス・倫理設計 （Governance Design）,社会的信頼のおけるアーキテクチャ設計,環境負荷・倫理・安全を三位一体で設計し、社会からの信頼を得る基盤を構築する力。評価指標とKPIを整え、事業判断に接続する,基本的な評価観点を示せる,信頼を得るための指標系と運用ルールを設計できる,社会からの信頼を得るアーキテクチャを組織横断で制度化できる,,,,＊,＊
20,1,設計 （Design）,組織・人・PJ設計 （Change Readiness Design）,変革文化設計,組織や業務の劇的な移行による「相転移」や「ゆらぎ」を意図的に生み、実験と越境が常態化する文化を設計する力。KPIや人事制度・予算プロセスを変革の行動様式に合わせて再設計する,実験の場を企画できる,制度・評価と接続した変革文化を設計できる,事業・人事・財務を横断し、組織文化の変革への仕掛けを設計できる,,,◯,,
21,2,設計 （Design）,組織・人・PJ設計 （Change Readiness Design）,協働基盤設計,多様な才能が創造的に協働できる制度・役割・プロセスを設計する力。合意形成・対立解消・資源配分を運営ルールとして実装する,多様な背景を持つ人々と協働する意義を理解し、関係者を特定できる,多様な才能を活かす協働のルールと運営プロセスを設計できる,大規模組織・外部連携を含む協働基盤を組織横断で主導できる,◯,,◯,,
22,3,設計 （Design）,組織・人・PJ設計 （Change Readiness Design）,越境推進,レガシー秩序に揺さぶりをかけ、既存モデルの慣性を超える越境・実験を設計する力。資金・人材・データ・計算資源の獲得までを含め、AI転換を推進する,既存の枠を超えた協働の必要性を理解し、小規模な連携を企画できる,部門横断・組織外連携を含むプロジェクトを、資源確保と調整を含めて設計できる,全社規模の組織変革とAI×データ変革を、経営レベルで主導できる,,,◯,,
23,1,構築・運用 （Build & Operate）,データ整備 （Data Readiness）,データ基盤設計,業界特性や契約条件を踏まえたデータ整備・基盤構築を行う力。データの流通経路・保管・アクセス設計を一貫してデザインし、品質と再利用性を両立させる,既存データ資産を把握し活用範囲を整理・説明できる,業界特性と契約条件を踏まえたデータ基盤を設計できる,事業横断で持続可能なデータ基盤を設計・運用できる,,,,＊,＊
24,2,構築・運用 （Build & Operate）,データ整備 （Data Readiness）,AI-Ready データ整備,ノイズ・欠損・バイアスを考慮しながら、AI活用に適したデータ構造・特徴量・メタデータを設計し、データ品質・倫理性を確保する力。権利処理や透明性も含め、データ活用環境を構築・運用する,データの品質課題を特定し、AI活用目的に沿った改善提案ができる,品質・権利・透明性を考慮し、学習・推論に適したデータを設計できる,AI活用に適し、倫理・品質・透明性を包括したデータ基盤と体制を構築し、制度として運用できる,,,,＊,＊
25,3,構築・運用 （Build & Operate）,データ整備 （Data Readiness）,データ流通・調達,データの調達・共有・利用契約を俯瞰し、持続可能なデータ流通構造を設計する力。パートナーや行政との連携を含めたデータエコシステムを構築する,契約内のデータの取り扱いにおける基本的な条件を理解・遵守できる,データの調達・共有のための契約・規約と、技術仕様を整合させた設計ができる,データ流通エコシステム全体を構想・設計できる,◯,,,＊,＊
26,1,構築・運用 （Build & Operate）,開発・評価 （AI Development & Validation）,PoC設計・実装,実現可能性や事業インパクトを検証するためのPoC（概念実証）を設計・実装する力。小規模実験を通じてリスクと価値を見極め、学習と改善につなげる,検証目的を定義し、小規模なPoCを自ら実装・検証できる,事業価値を踏まえたPoCを設計し、チームで実装・評価できる,PoC成果を評価し、MVP・事業化への移行を判断・主導できる,◯,◯,◯,,
27,2,構築・運用 （Build & Operate）,開発・評価 （AI Development & Validation）,MVP開発,最小限の機能・モデル・UXを構築し、MVPで価値と実現性を検証する力。実利用データを通じて事業インパクトを定量化する,基本機能を持つ試作を実装できる,MVPを設計・検証し改善ポイントを導出できる,MVP成果を事業化・資金化に接続できる,,◯,,＊,＊
28,3,構築・運用 （Build & Operate）,開発・評価 （AI Development & Validation）,業務モデル化,業務知識や技能を分析・構造化し、AIで代替・補完可能な業務プロセスへ変換する力。人・組織を形式知化し、モデル化する,業務手順を整理し構造を説明できる,AI活用を前提とした業務モデルを設計できる,人・AI・組織を含む業務最適化をモデルとして再設計できる,,,,＊,＊
29,1,構築・運用 （Build & Operate）,継続運用・改善 （MLOps & Monitoring）,運用監視設計,サービスの安定稼働とリスク検知を両立させるモニタリング体制を設計する力。利用状況・ユーザー行動・リスク兆候の分析を用いて異常検知と対応プロセスを構築する,主要な運用指標をモニタリングできる,監視と警告の設計を行いリスク対応を自動化できる,全社レベルでMLOps基盤を運用・改善できる,,,,,＊
30,2,構築・運用 （Build & Operate）,継続運用・改善 （MLOps & Monitoring）,継続学習・改善,AI・データ・サービスの改善を継続的に行う力。利用データを再学習やモデル更新に反映し、品質を長期的に維持する,再学習の必要性を判断できる,モデル更新・検証サイクルを設計・運用できる,学習・改善プロセスを組織全体に展開できる,,,,＊,＊
31,3,構築・運用 （Build & Operate）,継続運用・改善 （MLOps & Monitoring）,モデル・リスク統合管理,モデル精度・リスク・説明責任プロセスを並行して管理し、透明で持続可能なMLOps基盤やガードレール、モデレーションを構築する力。評価・監査・再訓練プロセスを一体で設計する,モデル評価の基本指標を理解できる,リスクと精度を統合的に管理できる,説明責任と監査性を備えたガードレールやモデレーションを構築・主導できる,,,,＊,＊
32,1,構築・運用 （Build & Operate）,定着と横展開 （Organizational Anchoring）,ガバナンス実装,品質・倫理・再現性を担保するAIガバナンス・データガバナンスを制度化し、運用する力。組織横断で責任と権限を整理し、運用ガイドラインを定着させる,AIガバナンスの枠組みを理解・遵守できる,AIガバナンスの体制を組織内で主導的に設計・導入できる,ガバナンスを組織文化として定着させることができる,◯,,,＊,＊
33,2,構築・運用 （Build & Operate）,定着と横展開 （Organizational Anchoring）,ナレッジマネジメント,成功事例・失敗知見を体系化し、共有・再利用する仕組みを構築する力。ベストプラクティスを横展開し、学習する文化を醸成する,ナレッジを記録・共有できる,成功・失敗知見を体系化し展開できる,組織全体で学習文化を根づかせることができる,,◯,,,
34,3,構築・運用 （Build & Operate）,定着と横展開 （Organizational Anchoring）,変革定着,新しい価値創造を持続させるために、成功モデルを制度・組織文化に埋め込む力。部門間の連携とフィードバックを通じて変化を定常化させる,成功要因を整理し、共有できる,変化を支える制度・文化を設計できる,継続的変革を推進する横断構造を主導できる,,,,,
35,1,適用・進化 （Apply & Evolve）,移住 （Old Economy Bridging）,再結合の設計,既存の資産・制度・文化・技術を組み合わせ、新たな社会的・経済的秩序を設計する力。今までの構造を土台に新しい仕組みを創出する,既存資産を把握し、再利用の可能性を見出せる,資産や制度の再結合を設計できる,社会・産業レベルで新秩序を構築できる,,,,＊,
36,2,適用・進化 （Apply & Evolve）,移住 （Old Economy Bridging）,実験的価値創造,今までの構造と新構造をつなぎ、実験的な価値創造を行う力。AI・データ・人・文化を組み合わせて新しい活動や仕組みを共創する,新旧構造を比較・整理できる,新旧両者を接続し、新しい価値創造を設計できる,越境的な価値創造の場を主導できる,,,,,
37,3,適用・進化 （Apply & Evolve）,移住 （Old Economy Bridging）,継承・移譲設計,新しい知・技術・文化を次世代や他コミュニティに継承する力。学びと実践を循環させ、持続可能な発展構造を形成する,知識・技術を伝達できる,学びを次世代・他組織に移譲できる,知と文化を持続的に継承するエコシステムを設計できる,,,,,
38,1,適用・進化 （Apply & Evolve）,効果測定・改善 （Evaluation & Learning）,経済・社会価値評価,経済的価値と社会的価値の両面で成果を測定し、意思決定や改善に反映する力。経済・社会・環境・文化の観点からインパクトを捉え、バランスの取れた評価を行う,経済的な成果を定量・定性の両面で評価できる,経済・社会的価値を統合して測定できる,経済・社会的価値を統合し、戦略評価を主導できる,,,◯,,
39,2,適用・進化 （Apply & Evolve）,効果測定・改善 （Evaluation & Learning）,学習サイクル設計,成果から学びを抽出し、改善と成長を継続的に循環させる仕組みを設計する力。組織・個人の自律的な改善を促進し、進化の文化を定着させる,改善点を特定し、次の行動を設計できる,成果・失敗を学習に変換するサイクルを設計できる,改善と成長が循環する文化を全社的に浸透させることができる,◯,◯,,,
40,3,適用・進化 （Apply & Evolve）,効果測定・改善 （Evaluation & Learning）,知識再利用設計,実践から得た知識・データ・経験を再利用可能な形で整理・共有する力。学習成果をモジュール化・構造化し、他部門・他組織に適応させる,得られた知識を記録・共有できる,知識やデータを再利用可能な形に整理・共有できる,知を組織・地域・世代を超えて再利用できる仕組みを構築する,,,,,
41,1,適用・進化 （Apply & Evolve）,制度・文化改革 （Organizational Change）,変革文化定着,対話と学習を通じて変革文化を定着させ、持続的な変化を可能にする力。短期的な圧力に流されず、価値創造の信念を持ち続けて推進する,変革の意図を理解し、実行できる,チーム・部門単位で変革文化を醸成できる,全社レベルで自律的な変革文化の形成を主導できる,,,◯,,
42,2,適用・進化 （Apply & Evolve）,制度・文化改革 （Organizational Change）,制度再設計,既存の制度・評価・採用・配置などを再設計し、変革行動を支える仕組みに変える力。組織文化と制度の整合を取りながら変化を制度化する,制度変更の影響を説明できる,変革を支える制度設計を行える,文化・制度を統合して新たな行動様式を制度化できる,,,,,
43,3,適用・進化 （Apply & Evolve）,制度・文化改革 （Organizational Change）,レジリエンス推進,抵抗や不確実性の中でも変化を継続させる心理的・組織的耐性を高める力。組織全体がゆらぎを受け入れ、回復しながら前進する状態を設計する,変化の阻害要因を察知し、対応できる,変化に強いチーム環境を設計できる,全社的なレジリエンス文化を形成できる,,,,,
44,1,適用・進化 （Apply & Evolve）,スケーリング・進化 （Scaling & Evolution）,スケール設計,パイロット導入の成果を他分野・地域・組織に展開する力。成功要因とリスクを構造的に分析し、適応・転用可能なスケール設計を行う,パイロット導入の成果を整理し再利用できる,他領域への展開を考慮したスケール設計ができる,多様な領域・国際的な展開を戦略的に主導できる,,,,,
45,2,適用・進化 （Apply & Evolve）,スケーリング・進化 （Scaling & Evolution）,越境展開,地域・組織・文化を越えて成果を共有し、新しい連携と共進化を促す力。国際ネットワークを活かして学びと実践を往還させる,他組織と成果を共有できる,複数組織・地域を巻き込んで共創を促進できる,国際的な共進化ネットワークを形成・主導できる,,,,,
46,3,適用・進化 （Apply & Evolve）,スケーリング・進化 （Scaling & Evolution）,知の形式化,暗黙知や実践知を形式知化し、他者が活用できる形に変換する力。成果や学びをドキュメント・モデル・ツールとして定着させる,自身の実践における暗黙知を認識し、言語化できる,プロジェクトや組織の暗黙知を特定し、ドキュメント・ツールとして形式知化・共有できる,組織の知識資産を体系化し、再利用可能な形で構造化・定着できる,,,,,
47,1,共通,VC基礎,変革をやり抜く粘り強さ,困難や不確実性の中でも目的を見失わず、持続的に行動を続けながら、学びと改善を重ねて変革を完遂する力,困難に直面しても諦めず、指示された課題を粘り強く完遂できる,自律的に試行錯誤し、改善を重ねながら成果に結びつけられる,大きな困難の中でもチームを鼓舞し、変革を完遂に導きつつ、失敗を学びに転換し組織文化に定着させることができる,◯,,,,
48,2,共通,VC基礎,探索と俊敏な実行,新しいサービスや技術に好奇心と洞察を持ち、仕組みを探究しながら俊敏に試行・判断・実行できる力,新たなサービスや技術に対して直感的にわくわくし、その裏にある仕組みや技術に興味を持ち、自らリサーチ・試行できる,新しい発想や技術を俊敏に試行し、結果をもとに柔軟に判断・改善できる,不確実な環境下で新しい技術や仕組みを素早く探索・実験し、得られた知見を体系化して組織に還元できる,◯,,,＊,＊
49,3,共通,VC基礎,限定情報下での迅速判断力,限られた時間と情報の中でも、本質を捉え、過度な精度主義に陥らずに仮説ベースで素早く意思決定し、行動に移せる力,情報が不十分な状況でも、最も影響の大きい要素を見極めて行動を選べる（「ザックリ感」をもった判断）,仮説とリスクを明示し、限定情報下でもチームの担当領域を導いて意思決定できる,不確実性を許容しながら、実験と学習を通じて意思決定の質とスピードを両立させることができる,◯,,,,
50,4,共通,VC基礎,意味構造の読み解き・共有,複雑な事象の背後にある構造や意味を読み解き、人とAIが共に働く環境において、未来の価値を物語として翻訳・共有し、多様な人々の共感と行動を導く力,自らの経験や出来事を整理し、わかりやすく説明できる,複雑な事象の背景構造を読み取り、他者に納得感を持って伝えられる,抽象と具体を自在に行き来しながら、未来への物語を編み、他者を共感と行動へ導くことができる,◯,,,,
51,5,共通,VC基礎,倫理的判断と社会接続,人間と社会の尊厳を守る倫理的判断軸を持ち、技術革新を公正かつ持続的な社会的価値に結び付ける力,自らの行動や発言について、社会的に何が「不適切」かを理解しており、基本的な倫理・法・文化の境界を踏まえて行動できる,立場や価値観の異なる人々と対話し、社会的影響やリスクを考慮した公正な判断ができる,技術・経済的判断と社会的・倫理的基準を両立させ、組織や社会に持続的な倫理文化を根付かせることができる,◯,,,,
